Skill,Schema,intro-gpt,intro-gemini,articles-gpt,articles-gemini,activities-gpt,activities-gemini
Helping behavior,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Sound discrimination,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Word formation,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Sentence structure,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Language use in social contexts,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Temperament,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Self-concept,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Learning styles,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Emotional stability,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Gender roles,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Self-perception,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Awareness of sexual orientation,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Boundary Setting,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Personal care,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Expressive language,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Coordination,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Dexterity,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Auditory Skills,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
Long-term memory,Child,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more exciting and captivating such that parents who want to develop this skill in their child simply can't wait to do so. Make the title as exciting as you can!,"Generate 4 engaging articles on how parents of <age>  year olds in India can improve <skill> in their child. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in the context of that skill. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe in detail a few strategies and easy-to-implement, actionable steps that parents can take to master this skill in their child, including what the benefits of the strategies can look like in the child and one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. Use subheadings where necessary.

Do not use Dual Income Households as words in the article. Word count should be to 250 words. ","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. Keep the word count to 250 words.",,
